,input,output,a,b,SMILES
0,1a+2a,3aa,14,36,C(CC=C)CCCC.[SiH](CC)(CC)CC>>C(CC[Si](CC)(CC)CC)CCCCC
1,1a+2b,3ab,53,55,C(CC=C)CCCC.[SiH](C)(C)c1ccccc1>>C(CC[Si](C)(C)c1ccccc1)CCCCC
2,1a+2c,3ac,67,58,C(CC=C)CCCC.[SiH](c1ccccc1)(C)c1ccccc1>>C(CC[Si](c1ccccc1)(C)c1ccccc1)CCCCC
3,1a+2d,3ad,89,96,C(CC=C)CCCC.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>C(CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)CCCCC
4,1a+2e,3ae,96,99,C(CC=C)CCCC.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(CC[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)CCCCC
5,1a+2g,3ag,42,50,C(CC=C)CCCC.[SiH](C)(C)O[Si](CCCCCCCC)(C)C>>C(CC[Si](C)(C)O[Si](CCCCCCCC)(C)C)CCCCC
6,1a+2h,3ah,11,11,C(CC=C)CCCC.[SiH](O[Si](C)(C)C)(O[Si](C)(C)C)C>>C(CC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)CCCCC
7,1a+2i,3ai,9,7,C(CC=C)CCCC.[SiH](O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)(O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)C>>[Si](O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)(O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)(CCCCCCCC)C
8,1a+2j,3aj,5,3,C(CC=C)CCCC.[SiH](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C>>C(CC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)CCCCC
9,1a+2k,3ak,9,9,C(CC=C)CCCC.[SiH](OC(C)(C)C)(OC(C)(C)C)C>>C(CC[Si](OC(C)(C)C)(OC(C)(C)C)C)CCCCC
10,1c+2c,3cc,9,18,c1(CC=C)ccccc1.[SiH](c1ccccc1)(c1ccccc1)C>>C(CC[Si](c1ccccc1)(c1ccccc1)C)c1ccccc1
11,1c+2d,3cd,10,21,c1(CC=C)ccccc1.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>C(CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1
12,1c+2e,3ce,95,94,c1(CC=C)ccccc1.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(CC[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)c1ccccc1
13,1d+2e,3de,78,0,c1(C=C)ccccc1.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)c1ccccc1
14,1e+2e,3ee,95,0,c1(C(=C)C)ccccc1.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)(c1ccccc1)C
15,1f+2e,3fe,53,0,c1(/C=C/C)ccccc1.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>c1(CC(C)[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)ccccc1
18,1i+2b,3ib,7,33,C(C(=C)C)CC.[SiH](c1ccccc1)(C)C>>C(C(C[Si](C)(C)c1ccccc1)C)CC
19,1i+2c,3ic,39,51,C(C(=C)C)CC.[SiH](c1ccccc1)(c1ccccc1)C>>C(C(C[Si](c1ccccc1)(c1ccccc1)C)C)CC
20,1i+2d,3id,63,73,C(C(=C)C)CC.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>C(C(C[Si](c1ccccc1)(c1ccccc1)c1ccccc1)C)CC
21,1i+2e,3ie,91,0,C(C(=C)C)CC.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(C(C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)C)CC
